column,optimal_bias
0,-1.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,25.2361555016208
9,-1.0
10,18.9271166262156
11,-1.0
12,18.9271166262156
13,-1.0
14,-1.0
15,-1.0
